text,sentiment,category
man fatally feud aboard bus eighth person transit system year third person fatally transit day,-0.8934,neu
man death bus,-0.5994,neg
man bus,0.0,neu
update marc line wash operating minute due freight interference,0.0,neu
work crew fix heretofore unseen hope regular service soon,0.4404,neu
next downtown station cause one kept going also platform starting get,0.0,neu
recent support ally original tweet link,0.6124,pos
small sampling last weekend football action feast eye big play bell athletics walker athletics,0.34,neu
truly blue even know,0.4404,neu
broadway exchange alley location headed,0.0,neu
marc line wash operating minute due freight interference,0.0,neu
must admit money tight would approve million small linear park row right acre forest park simultaneously reactivation green would destroy said park,-0.4019,neu
work crew fix boy hope regular service soon,0.4404,neu
currently service report smoke alternative service location recommend plan trip feature also aw,0.3612,neu
would put hand whole could,0.4939,neu
would require working even mention year need assessment tho still working report,0.0,neu
go call collection company number work great call bridge tunnel one hour long wait login either disabled account literally say enough right,0.6597,neu
something cool unpaid toll fault whatever went go pay found went collection two week,-0.2023,neu
work crew fix singing hope regular service soon,0.4404,neu
billboard zander,0.0,neu
success accident hard work sacrifice love compound company done come loan collateral security,0.7783,pos
ready waiting release,0.3612,pos
local express local express,0.0,neu
foot note pod teacher across state make pay due,-0.1027,neu
recently policy draft sexual violence prevention made summary important point provided link feedback survey encourage student review policy provide feedback,0.0,neu
ya knew used underground beating drum sure remember,-0.1779,neu
guy hello correct stop made along grand aw,0.2023,neu
mean street grand avenue,0.4588,neu
cold,0.0,neu
maverick lens normal photo without cause horny clothes,0.0,neu
accessible practical want see well even quasi governmental work look dirty station ghost wasted electricity man hour property value determined station crime driving accessibility,-0.6908,neu
maze ex rare acid heavy psych fuzz vinyl,0.0,neu
try different practice area find one work,0.0,neu
due construction route pick passenger,0.0,neu
contractor crap seat line terminal,-0.3818,neu
hi share suggestion right team new grand central schedule transfer long beach direct grand central,0.802,neu
super funny family murder victim beaten homeless criminal,-0.7351,neg
least inaccessible subway station city become accessible following landmark settlement agreement disability advocate metropolitan transportation authority,0.5859,neu
board one next next minute,0.0,neu
due street closure international monetary fund world bank fall meeting commuter bus able serve street stop street throu,-0.296,neu
recent support ally original tweet link,0.6124,pos
bus go people,0.0,neu
route trip operate instead commuter bus able operate following today route trip,0.0,neu
whenever take bus always stuck long space bus like bus row get together,0.128,neu
also service trash hate,-0.5719,neg
hi new schedule begin service grand central use link see new draft schedule,0.4588,neu
reason housing renewal reason fare high station arent accessible filthy unsafe agent cop every station time take break take care,0.4939,neu
hope federal judge recuse blocked ban conceal carry bus subway ruling likely ruling,-0.4215,neu
fix ur move real state,0.0,neu
waiting day nice accept electronic payment credit card payment transfer,0.7906,pos
due driver shortage commuter bus able operate following today route trip,-0.25,neu
thought illegal smoke subway system street station line cop area nonsense,-0.743,neu
trip depart run today much service bus operator available see next bus arrive,0.0,neu
trip depart run today much service bus operator available see next bus arrive,0.0,neu
today episode washed getting super excited able get two fancy car seat price one prime day today,0.743,neu
despite mask optional access ride vehicle still sign telling customer wear mask wrong side public health even get message straight,-0.296,neu
want learn licensure process join staff today workshop educator licensure requirement,0.3612,neu
chamber station get urinal,0.0,neu
look guy half decent,0.0,neu
interesting idea,0.4019,pos
got ta stop driver stopping bus coming tell cute,0.0516,neu
derrick get courtesy booth case disruption service keep telling people wrong information,-0.4767,neu
trip depart run today much service bus operator available see bus arrive,0.0,neu
trip depart run today much service bus operator available see bus arrive,0.0,neu
guess take place world war zone thing missing zombie wait got well fraud misinformation please fine,-0.7906,neg
work crew union fix singing hope regular service soon,0.4404,neu
million people ride subway every single day day year report incident major index crime per year per day among million rider day,-0.5423,neu
extra service added leaf peeper see peak foliage,0.0,neu
allow military contractor run first place,0.2263,neu
hope crime shooting murder crime subway transit assault last year mean awareness post pandemic crazy world,-0.9432,neg
small community everyone know familiar ago roaming community knocking door food clothes given card shelter walking people yard standing railing see anyone home,0.0,neu
woman deadly bus stabbing killing transit month new york transit,-0.6597,neu
lime green lady straighten,0.0,neu
content moderation da case probably lower level political influence likely unfettered account suspension also yeah header outlook first pattern used,0.0,neu
criminal eric still crime,-0.7845,neg
waiting plaza arrival time kept randomly line screen listed bound station platform got two came went,0.0,neu
white fascist friend white fascist black fascist eric black friend dress like mint mobile mascot commit crime eric release criminal without bail,-0.8225,neg
recent support ally original tweet link,0.6124,pos
look like something notorious would make,-0.1027,neu
love worker tell speak like ur input,0.7717,pos
multiple change multiple change,0.0,neu
hey another stabbing tweet,0.0,neu
issue really tiffany caban anything rising crime act violence seem content status quo building tent providing service people homeless,-0.8225,neu
due driver shortage commuter bus able operate following today route trip route trip,-0.25,neu
certain criticism well deserved like time take ride,0.4215,pos
oxy oxygen wombat exchange governance meta land label foundation protocol,0.0,neu
dude front got bassoon looking spear,0.0,neu
know cant promise everything commuter perfect day fast response kind issue get another man man smoking thing escalate go ugly,0.4287,neu
question much would save food drink subway bus system much cleaner would subway bus much would passenger enjoy honestly year,0.8779,neu
anything turned around,0.0,neu
eating sandwich lunch today,0.0,neu
kindly like social medium platform share friend family twitter,0.8779,pos
overnight service overnight service,0.0,neu
new map style one coming soon,0.0,neu
new shuttle bus via,0.0,neu
museum oh thank,0.3612,pos
today good day crush load subway noon midnight great way bring back rider,0.7506,neu
victim full story,-0.2732,neg
recent support ally original tweet link,0.6124,pos
work crew fix dancing hope regular service soon,0.4404,neu
everyone,0.0,neu
friend life island going get home live queen traveling flushing queen piece system send bus family child waiting hour temp awful paying fare tonight,0.0516,neu
last tweet since college point figured direct bus service weekday would beneficial college point flushing resident hope see redesign soon,0.7003,neu
queen bus redesign college point resident debating sending college point resident hard time getting different point back home college point possibly downtown east,-0.1027,neu
meta horizon world still buggy used according company executive news,0.0,neu
work crew fix dancing hope regular service soon,0.4404,neu
joe rogan comedy college comedy icon rocket cardinal meditation meditation,0.6124,neu
support,0.4019,pos
people tension high right little thing could break something big always alert riding bus said mona transit rider scene year old man inside city bus story,-0.0258,neu
filling formal reprimand throwing lighting pipe request female nurse female conductor call police done taking law hand according,0.4939,neu
thank repost soon also would love buy shirt later,0.7717,neu
year old man critically injured stabbing bus,-0.4019,neu
single due maintenance center station patron may experience east westbound service ask please plan travel,0.3182,neu
going fix known since,0.0,neu
